equal_investment,min_market_cap,max_market_cap,min_score_threshold,technical_weight,sentiment_weight,total_operations,roi,avg_profit_per_op,win_rate
1,50000000,10000000000,-0.5,0.4,0.6,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.4,0.6,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.4,0.6,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.6,0.4,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-0.5,0.6,0.4,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-0.5,0.6,0.4,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-0.5,0.6,0.4,823,-3.32,-3.32,37.18
1,50000000,10000000000,-0.5,0.6,0.4,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.6,0.4,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.6,0.4,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.7,0.3,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-0.5,0.7,0.3,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-0.5,0.7,0.3,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-0.5,0.7,0.3,823,-3.32,-3.32,37.18
1,50000000,10000000000,-0.5,0.7,0.3,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.7,0.3,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.7,0.3,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.75,0.25,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-0.5,0.75,0.25,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-0.5,0.75,0.25,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-0.5,0.75,0.25,823,-3.32,-3.32,37.18
1,50000000,10000000000,-0.5,0.75,0.25,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.75,0.25,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.75,0.25,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.8,0.2,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-0.5,0.8,0.2,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-0.5,0.8,0.2,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-0.5,0.8,0.2,823,-3.32,-3.32,37.18
1,50000000,10000000000,-0.5,0.8,0.2,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.8,0.2,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.8,0.2,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.85,0.15,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-0.5,0.85,0.15,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-0.5,0.85,0.15,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-0.5,0.85,0.15,823,-3.32,-3.32,37.18
1,50000000,10000000000,-0.5,0.85,0.15,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.85,0.15,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.85,0.15,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.9,0.1,1203,-2.35,-2.35,39.15
1,1000000,100000000000000,-0.5,0.9,0.1,1203,-2.35,-2.35,39.15
1,10000000,100000000000000,-0.5,0.9,0.1,1121,-2.21,-2.21,40.68
1,10000000,1000000000,-0.5,0.9,0.1,822,-3.32,-3.32,37.23
1,50000000,10000000000,-0.5,0.9,0.1,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.9,0.1,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.9,0.1,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,0.95,0.05,1202,-2.35,-2.35,39.18
1,1000000,100000000000000,-0.5,0.95,0.05,1202,-2.35,-2.35,39.18
1,10000000,100000000000000,-0.5,0.95,0.05,1121,-2.21,-2.21,40.68
1,10000000,1000000000,-0.5,0.95,0.05,822,-3.32,-3.32,37.23
1,50000000,10000000000,-0.5,0.95,0.05,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,0.95,0.05,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,0.95,0.05,299,0.85,0.85,50.17
1,1,100000000000000,-0.5,1.0,0.0,1201,-2.33,-2.33,39.22
1,1000000,100000000000000,-0.5,1.0,0.0,1201,-2.33,-2.33,39.22
1,10000000,100000000000000,-0.5,1.0,0.0,1121,-2.21,-2.21,40.68
1,10000000,1000000000,-0.5,1.0,0.0,822,-3.32,-3.32,37.23
1,50000000,10000000000,-0.5,1.0,0.0,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-0.5,1.0,0.0,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-0.5,1.0,0.0,299,0.85,0.85,50.17
0,1,100000000000000,-0.5,0.0,1.0,1194,-1.5,-0.34,39.2
0,1000000,100000000000000,-0.5,0.0,1.0,1194,-1.5,-0.34,39.2
0,10000000,100000000000000,-0.5,0.0,1.0,1112,-1.26,-0.3,40.74
0,10000000,1000000000,-0.5,0.0,1.0,814,-3.03,-0.22,37.22
0,50000000,10000000000,-0.5,0.0,1.0,876,-0.65,-0.08,42.47
0,100000000,1000000000000,-0.5,0.0,1.0,824,-0.95,-0.29,46.0
0,1000000000,100000000000000,-0.5,0.0,1.0,298,-0.75,-0.51,50.34
0,1,100000000000000,-0.5,0.2,0.8,1197,-1.49,-0.34,39.26
0,1000000,100000000000000,-0.5,0.2,0.8,1197,-1.49,-0.34,39.26
0,10000000,100000000000000,-0.5,0.2,0.8,1115,-1.25,-0.3,40.81
0,10000000,1000000000,-0.5,0.2,0.8,817,-2.99,-0.22,37.33
0,50000000,10000000000,-0.5,0.2,0.8,879,-0.64,-0.08,42.55
0,100000000,1000000000000,-0.5,0.2,0.8,826,-0.94,-0.29,46.13
0,1000000000,100000000000000,-0.5,0.2,0.8,298,-0.75,-0.51,50.34
0,1,100000000000000,-0.5,0.4,0.6,1204,-1.51,-0.34,39.12
0,1000000,100000000000000,-0.5,0.4,0.6,1204,-1.51,-0.34,39.12
