score_threshold,equal_investment,technical_weight,sentiment_weight,min_market_cap,max_market_cap,total_operations,roi,avg_profit_per_op,win_rate
0.35,True,0.8,0.2,100000000,1000000000000,8,-1.305,-1.305,37.5025
0.3,True,0,1,10000000,100000000000000,488,-1.29965163934426,-1.29965163934426,49.5891393442623
0.35,True,0.2,0.8,10000000,100000000000000,223,-1.29641255605381,-1.29641255605381,51.5713452914798
0.35,True,0.2,0.8,50000000,10000000000,165,-1.26624242424242,-1.26624242424242,48.4837575757576
0.2,True,0.7,0.3,10000000,1000000000,107,-1.2388785046729,-1.2388785046729,51.3988785046729
0.15,True,0.75,0.25,10000000,1000000000,208,-1.22341346153846,-1.22341346153846,48.0787980769231
0.3,False,0.75,0.25,50000000,10000000000,19,-2.01421052631579,-1.21578947368421,57.8952631578947
0.3,True,0.85,0.15,10000000,1000000000,19,-1.21210526315789,-1.21210526315789,52.6294736842105
0.3,True,0,1,50000000,10000000000,341,-1.18237536656892,-1.18237536656892,50.1461290322581
0.25,True,0.7,0.3,10000000,1000000000,48,-1.18229166666667,-1.18229166666667,49.99875
0.35,True,0.75,0.25,1000000000,100000000000000,6,-1.15333333333333,-1.15333333333333,33.3333333333333
0.35,True,1,0,1000000000,100000000000000,8,-1.1375,-1.1375,37.4975
0.35,True,0,1,50000000,10000000000,275,-1.09596363636364,-1.09596363636364,50.9074909090909
0.3,False,0.85,0.15,1000000000,100000000000000,19,-0.931052631578948,-1.05526315789474,52.6289473684211
0.1,True,0.6,0.4,10000000,1000000000,395,-1.0480253164557,-1.0480253164557,48.6063544303798
0.15,True,0.8,0.2,10000000,1000000000,209,-1.0477033492823,-1.0477033492823,50.2373684210526
0,True,0.4,0.6,10000000,1000000000,922,-1.03594360086768,-1.03594360086768,46.6385357917571
0.3,False,0.75,0.25,1000000000,100000000000000,21,-1.00142857142857,-1.02857142857143,52.3814285714286
0.15,True,0.7,0.3,10000000,1000000000,220,-1.00531818181818,-1.00531818181818,48.6325
0.35,False,0.95,0.05,10000000,100000000000000,17,-3.55470588235294,-0.980588235294118,52.9411764705882
0,True,0.2,0.8,10000000,1000000000,924,-0.975638528138528,-0.975638528138528,46.4271645021645
0.3,False,0.85,0.15,50000000,10000000000,18,-2.90277777777778,-0.973333333333333,55.5583333333333
0.35,True,0.95,0.05,1,100000000000000,20,-0.9695,-0.9695,50.001
0.35,True,0.95,0.05,1000000,100000000000000,20,-0.9695,-0.9695,50.001
0.35,False,1,0,10000000,100000000000000,24,-3.94916666666667,-0.96125,54.1683333333333
0,True,0.6,0.4,10000000,1000000000,897,-0.951672240802676,-0.951672240802676,47.154983277592
0.3,True,0.8,0.2,1000000000,100000000000000,19,-0.926315789473684,-0.926315789473684,47.3689473684211
0.3,True,0,1,1,100000000000000,504,-0.922539682539683,-0.922539682539683,48.8076587301587
0.3,True,0,1,1000000,100000000000000,504,-0.922539682539683,-0.922539682539683,48.8076587301587
0.35,True,0.4,0.6,1,100000000000000,94,-0.914468085106383,-0.914468085106383,57.4446808510638
0.35,True,0.4,0.6,1000000,100000000000000,94,-0.914468085106383,-0.914468085106383,57.4446808510638
0.35,True,0.4,0.6,10000000,100000000000000,94,-0.914468085106383,-0.914468085106383,57.4446808510638
0.1,True,0.7,0.3,10000000,1000000000,390,-0.906025641025641,-0.906025641025641,48.9745641025641
0.3,True,0.85,0.15,10000000,100000000000000,38,-0.898947368421053,-0.898947368421053,52.6294736842105
0.2,True,0.75,0.25,10000000,1000000000,105,-0.892857142857143,-0.892857142857143,53.3330476190476
0.3,False,0.7,0.3,1000000000,100000000000000,29,-0.753448275862069,-0.889310344827586,51.7227586206897
0.3,True,0.2,0.8,10000000,100000000000000,342,-0.877748538011696,-0.877748538011696,52.6301754385965
0.3,False,0.8,0.2,1000000000,100000000000000,19,-0.839473684210526,-0.863157894736842,47.3689473684211
0.3,True,0.8,0.2,100000000,1000000000000,24,-0.86125,-0.86125,50.0041666666667
0.3,False,0.7,0.3,50000000,10000000000,27,-2.32074074074074,-0.859259259259259,55.5585185185185
0.35,False,0.95,0.05,1,100000000000000,20,-4.113,-0.857,50.001
0.35,False,0.95,0.05,1000000,100000000000000,20,-4.113,-0.857,50.001
0.3,True,0.2,0.8,50000000,10000000000,241,-0.850871369294606,-0.850871369294606,51.8682157676348
0.3,False,0.75,0.25,100000000,1000000000000,27,-0.876296296296296,-0.849259259259259,55.5562962962963
0.3,False,0.85,0.15,100000000,1000000000000,26,-0.724615384615385,-0.847692307692308,53.8461538461539
0.35,True,0.2,0.8,100000000,1000000000000,202,-0.833861386138614,-0.833861386138614,52.4777722772277
0.35,False,0.85,0.15,1000000000,100000000000000,5,-3.336,-0.83,20
0.35,False,1,0,1,100000000000000,28,-3.43785714285714,-0.825714285714286,53.5735714285714
0.35,False,1,0,1000000,100000000000000,28,-3.43785714285714,-0.825714285714286,53.5735714285714
0.3,True,0.85,0.15,100000000,1000000000000,26,-0.808461538461539,-0.808461538461539,53.8461538461539
0.35,True,0.95,0.05,1000000000,100000000000000,7,-0.794285714285714,-0.794285714285714,42.8571428571429
0.35,True,0,1,1,100000000000000,394,-0.790152284263959,-0.790152284263959,50.0000507614213
0.35,True,0,1,1000000,100000000000000,394,-0.790152284263959,-0.790152284263959,50.0000507614213
0.3,True,0.4,0.6,1,100000000000000,187,-0.785561497326203,-0.785561497326203,56.1508021390374
0.3,True,0.4,0.6,1000000,100000000000000,187,-0.785561497326203,-0.785561497326203,56.1508021390374
0,True,0.8,0.2,10000000,1000000000,848,-0.783702830188679,-0.783702830188679,47.9959669811321
0.3,False,0.8,0.2,100000000,1000000000000,24,-0.840833333333333,-0.772083333333333,50.0041666666667
0,True,0.7,0.3,10000000,1000000000,883,-0.772038505096263,-0.772038505096263,47.4515628539071
0.35,True,0,1,100000000,1000000000000,337,-0.77053412462908,-0.77053412462908,53.116765578635
0,True,0.75,0.25,10000000,1000000000,872,-0.765665137614679,-0.765665137614679,47.7048853211009
0.3,True,0,1,100000000,1000000000000,433,-0.765103926096998,-0.765103926096998,52.1956120092379
0.2,True,0.8,0.2,10000000,1000000000,105,-0.762952380952381,-0.762952380952381,52.3792380952381
0.25,True,0,1,50000000,10000000000,440,-0.756886363636364,-0.756886363636364,51.3641590909091
0.25,True,0,1,10000000,100000000000000,630,-0.743380952380952,-0.743380952380952,51.2706349206349
0.3,True,0.6,0.4,1,100000000000000,68,-0.74264705882353,-0.74264705882353,58.8258823529412
0.3,True,0.6,0.4,1000000,100000000000000,68,-0.74264705882353,-0.74264705882353,58.8258823529412
0.3,True,0.6,0.4,10000000,100000000000000,68,-0.74264705882353,-0.74264705882353,58.8258823529412
0.2,True,0.2,0.8,50000000,10000000000,428,-0.727383177570093,-0.727383177570093,51.8677336448598
0.15,True,0.85,0.15,10000000,1000000000,211,-0.7239336492891,-0.7239336492891,51.6569668246445
0,True,0.85,0.15,10000000,1000000000,836,-0.7211004784689,-0.7211004784689,48.088014354067
0.1,True,0.75,0.25,10000000,1000000000,384,-0.691432291666667,-0.691432291666667,49.9984895833333
0.25,True,0.8,0.2,10000000,1000000000,51,-0.687058823529412,-0.687058823529412,52.9425490196078
0.35,False,0.2,0.8,50000000,10000000000,165,-3.05284848484849,-0.662727272727273,48.4837575757576
0.3,False,0.9,0.1,1000000000,100000000000000,25,-0.762,-0.656,48
0,True,0.95,0.05,10000000,1000000000,801,-0.641061173533084,-0.641061173533084,48.1903620474407
0.2,True,0.2,0.8,10000000,100000000000000,638,-0.640188087774295,-0.640188087774295,52.1938087774295
0.25,True,0.2,0.8,10000000,100000000000000,456,-0.632127192982456,-0.632127192982456,51.7555921052632
0.2,True,0.85,0.15,10000000,1000000000,104,-0.63,-0.63,50.9611538461539
0.2,True,0,1,50000000,10000000000,521,-0.626295585412668,-0.626295585412668,51.0540499040307
0,True,0.9,0.1,10000000,1000000000,818,-0.626136919315404,-0.626136919315404,48.6567359413203
0.35,False,0.85,0.15,100000000,1000000000000,7,-2.57857142857143,-0.624285714285714,28.5714285714286
0.3,False,0.75,0.25,10000000,100000000000000,35,-0.908285714285714,-0.619428571428571,60.0005714285714
0.3,False,0.75,0.25,1,100000000000000,36,-0.978611111111111,-0.604444444444445,58.3327777777778
0.3,False,0.75,0.25,1000000,100000000000000,36,-0.978611111111111,-0.604444444444445,58.3327777777778
0.3,False,0.85,0.15,10000000,100000000000000,38,-2.52894736842105,-0.603421052631579,52.6294736842105
0.35,True,1,0,10000000,100000000000000,24,-0.59875,-0.59875,54.1683333333333
0.3,True,0.85,0.15,1000000000,100000000000000,19,-0.587368421052632,-0.587368421052632,52.6289473684211
0.15,False,0,1,50000000,10000000000,645,-1.22871317829457,-0.587348837209302,50.3867596899225
0.3,True,0.2,0.8,100000000,1000000000000,309,-0.585080906148867,-0.585080906148867,53.7196763754045
0.25,True,0,1,1,100000000000000,651,-0.580875576036866,-0.580875576036866,50.23
0.25,True,0,1,1000000,100000000000000,651,-0.580875576036866,-0.580875576036866,50.23
0.25,True,0.4,0.6,1,100000000000000,311,-0.579421221864952,-0.579421221864952,53.697652733119
0.25,True,0.4,0.6,1000000,100000000000000,311,-0.579421221864952,-0.579421221864952,53.697652733119
0.3,False,0.7,0.3,10000000,100000000000000,46,-1.4045652173913,-0.574130434782609,56.5252173913043
0.3,False,0.2,0.8,50000000,10000000000,241,-2.10597510373444,-0.566597510373444,51.8682157676348
0.1,False,0.2,0.8,50000000,10000000000,693,-1.24066378066378,-0.564675324675325,50.3628427128427
0,True,1,0,10000000,1000000000,786,-0.564618320610687,-0.564618320610687,48.7289058524173
0.35,False,0.9,0.1,1000000000,100000000000000,6,-1.97333333333333,-0.563333333333333,33.3333333333333
0.3,False,0.7,0.3,1,100000000000000,47,-1.47212765957447,-0.562765957446809,55.3217021276596
0.3,False,0.7,0.3,1000000,100000000000000,47,-1.47212765957447,-0.562765957446809,55.3217021276596
0.3,False,0,1,50000000,10000000000,341,-1.91727272727273,-0.56258064516129,50.1461290322581
0.1,False,0,1,50000000,10000000000,731,-1.29027359781122,-0.55734610123119,50.4768125854993
0.25,False,0,1,50000000,10000000000,440,-1.69447727272727,-0.550681818181818,51.3641590909091
0.25,True,0.6,0.4,10000000,1000000000,63,-0.546190476190476,-0.546190476190476,53.9671428571429
0.15,True,0.9,0.1,10000000,1000000000,223,-0.546008968609866,-0.546008968609866,52.46533632287
0.2,True,0,1,10000000,100000000000000,772,-0.545686528497409,-0.545686528497409,51.2941191709845
0.3,False,0.85,0.15,1,100000000000000,42,-2.29,-0.542380952380952,52.38
0.3,False,0.85,0.15,1000000,100000000000000,42,-2.29,-0.542380952380952,52.38
